Customer_ID,Service_Name
AEC100000,Internet_Leased_Line
AEC100004,Internet_Leased_Line
AEC100005,Internet_Leased_Line
AEC100008,Internet_Leased_Line
AEC100010,Internet_Leased_Line
AEC100012,Internet_Leased_Line
AEC100013,Internet_Leased_Line
AEC100014,Internet_Leased_Line
AEC100015,Internet_Leased_Line
AEC100016,Internet_Leased_Line
AEC100018,Internet_Leased_Line
AEC100019,Internet_Leased_Line
AEC100020,Internet_Leased_Line
AEC100021,Internet_Leased_Line
AEC100027,Internet_Leased_Line
AEC100032,Internet_Leased_Line
AEC100033,Internet_Leased_Line
AEC100034,Internet_Leased_Line
AEC100035,Internet_Leased_Line
AEC100038,Internet_Leased_Line
AEC100039,Internet_Leased_Line
AEC100048,Internet_Leased_Line
AEC100049,Internet_Leased_Line
AEC100050,Internet_Leased_Line
AEC100052,Internet_Leased_Line
AEC100053,Internet_Leased_Line
AEC100055,Internet_Leased_Line
AEC100058,Internet_Leased_Line
AEC100062,Internet_Leased_Line
AEC100068,Internet_Leased_Line
AEC100072,Internet_Leased_Line
AEC100075,Internet_Leased_Line
AEC100086,Internet_Leased_Line
AEC100087,Internet_Leased_Line
AEC100088,Internet_Leased_Line
AEC100091,Internet_Leased_Line
AEC100093,Internet_Leased_Line
AEC100098,Internet_Leased_Line
AEC100099,Internet_Leased_Line
AEC100102,Internet_Leased_Line
AEC100104,Internet_Leased_Line
AEC100106,Internet_Leased_Line
AEC100108,Internet_Leased_Line
AEC100111,Internet_Leased_Line
AEC100115,Internet_Leased_Line
AEC100117,Internet_Leased_Line
AEC100118,Internet_Leased_Line
AEC100121,Internet_Leased_Line
AEC100122,Internet_Leased_Line
AEC100123,Internet_Leased_Line
AEC100124,Internet_Leased_Line
AEC100126,Internet_Leased_Line
AEC100128,Internet_Leased_Line
AEC100131,Internet_Leased_Line
AEC100136,Internet_Leased_Line
AEC100137,Internet_Leased_Line
AEC100138,Internet_Leased_Line
AEC100139,Internet_Leased_Line
AEC100141,Internet_Leased_Line
AEC100149,Internet_Leased_Line
AEC100152,Internet_Leased_Line
AEC100153,Internet_Leased_Line
AEC100154,Internet_Leased_Line
AEC100157,Internet_Leased_Line
AEC100171,Internet_Leased_Line
AEC100183,Internet_Leased_Line
AEC100184,Internet_Leased_Line
AEC100186,Internet_Leased_Line
AEC100191,Internet_Leased_Line
